campaign,campaign_status,category,content,Country,country_shortname,coupon_code,date,id,influencer_name,latest year,max_coupon_data_refresh_date,max_coupon_reporting_date,max_influencer_data_refresh_date,medium,medium_modified,medium_type,medium_type_modified,month,month of order date,previous year,project_management,quality,region,reporting_shared,Select Year,size,size_modified ,Top 20 Inlfuencer names,Top Influencers with zero costs,#Posts,#Voucher,AOV,campaign_transaction_revenue,ce_posts,CPI,CPM,CPO,CPR,CPU,CR,dq_indicator_yes_all,dq_indicator_yes_central_europe,dq_indicator_yes_north_europe,dq_indicator_yes_south_europe,Engagement,Engagement Rate,Follower,Low Engagement rate High Cost,ne_posts,Net Reach,New User,no_campaign_item_revenue,no_campaign_net_revenue,no_influencer_campaign_item_revenue,no_influencer_campaign_net_revenue,no_influencer_campaign_transaction_revenue,NR Target,NR UTM,NR Voucher,NR/1000 Views,Orders,se_posts,"Select Metric by CPM,CPR & CPI",Select Metric by NR_User_Net Reach,sessions,Total Costs,Total NR,User,User / View
l-de-n-ig-iangleiber_2103,done,lifestyle,new_flavour,Germany,DE,IAN,6/3/2021,DE20213_20,iangleiber,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Makro,Makro,,FALSE,1,1,"70,41","1679,22",0,"0,30","21,81","23,16","0,33","0,57","2,37%",1,0,0,0,2780,"7,27%",304000,FALSE,0,38226,1240,,"962,21",,"111,14","129,58","1.667,20 €","1.461,24 €","1.073,35 €",66,36,0,"21,807,146,968",1466,1516,"833,60 €","2.534,59 €",1466,"0,04"
l-de-n-ig-majenkov-newflavour-2103,done,family,new_flavour,Germany,DE,NADJA-MACHTS-MÖGLICH,5/3/2021,DE20213_1,majenkov,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Mikro,Mikro,,FALSE,1,1,"43,38","16775,32",0,"0,13","6,89","1,24","0,03","0,18","13,99%",1,0,0,0,3912,"5,39%",28600,FALSE,0,72548,1784,,"2669,24",,"404,96","451,02","1.000,00 €","14.452,12 €","3.074,20 €",242,404,0,"6,891,988,752",2840,2888,"500,00 €","17.526,32 €",2840,"0,04"
l-de-n-ig-fraeuleinemmama-newflavour-2103,done,family,new_flavour,Germany,DE,,4/3/2021,DE20213_52,fraeuleinemmama,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,,"40,33",819,0,"0,76","40,46","49,21","1,22","1,67","3,25%",1,0,0,0,1165,"5,32%",57700,FALSE,0,21893,413,,,,,,"1.180,93 €","725,86 €",,33,18,0,"40,455,853,469",529,553,"885,70 €","725,86 €",529,"0,02"
l-de-n-ig-sarah.thei_2103,done,sports,,Austria,AT,SARAHTHEI,3/3/2021,AT20213_49,sarah.thei,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Makro,Makro,,FALSE,1,,"39,85","1481,04",0,"0,26","11,32","32,63","0,82","0,40","1,20%",1,0,0,0,4000,"4,34%",374500,FALSE,0,92201,2348,"11035,5",,"2756,2",,,"2.088,00 €","1.275,16 €",,14,32,0,"11,323,087,602",2600,2660,"1.044,00 €","1.275,16 €",2600,"0,03"
l-de-n-ig-twenty4.tim_2103,done,lifestyle,new_flavour,Germany,DE,,3/3/2021,DE20213_17,twenty4.tim,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Mega,Mega,,FALSE,1,,"41,11","9154,64",0,"0,38","24,21","24,05","0,58","0,59","2,39%",1,0,0,0,12349,"6,38%",1100000,FALSE,0,193661,6548,,,,,,"6.252,00 €","8.016,52 €",,41,195,0,"24,212,412,411",7930,8156,"4.689,00 €","8.016,52 €",7930,"0,04"
l-ch-n-ig-energy_ch_2103,done,entertainment,unboxing,Switzerland,CH,,2/3/2021,CH20213_136,energy_ch,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Makro,Makro,,FALSE,1,,"70,52","10025,4",0,"0,41","90,60","39,06","0,55","1,00","2,45%",1,0,0,0,13356,"22,28%",260000,FALSE,0,59937,5138,,,,,,"7.240,00 €","9.802,76 €",,164,139,0,"90,595,124,881",5457,5675,"5.430,00 €","9.802,76 €",5457,"0,09"
l-de-n-ig-dietzunddas-newflavour-2103,done,lifestyle,new_flavour,Germany,DE,SHARI,2/3/2021,DE20213_45,dietz.und.das,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,,"60,31","10244,2",0,"0,12","10,93","2,14","0,04","0,26","11,60%",1,0,0,0,4380,"9,19%",45100,FALSE,0,47676,1368,,"4746,88",,"1090,08","1261,28","1.042,00 €","8.878,28 €","5.836,96 €",309,244,0,"10,927,930,195",1984,2104,"521,00 €","14.715,24 €",1984,"0,04"
l-de-n-ig-janihager-newflavour-2103,done,lifestyle,,Germany,DE,JANI-MACHTSMÖGLICH,1/3/2021,DE20213_28,janihager,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Maria,missing_content,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,1,"203,84","80,26",0,"0,34","9,98","29,52","0,14","0,36","1,20%",1,0,0,0,520,"2,93%",41000,FALSE,0,17752,374,,"1154,22",,"12,06","24,22","354,28 €","56,78 €","1.166,28 €",69,6,0,"9,978,593,961",494,498,"177,14 €","1.223,06 €",494,"0,03"
l-de-n-ig-jefro_2102-2,done,family,,Germany,DE,JEFRO,28/2/2021,DE20212_31,jefro_momlifestyle,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,1,"47,85","24341,6",0,"0,38","9,65","3,26","0,07","0,35","10,42%",1,0,0,0,4952,"2,55%",66900,FALSE,0,194444,3284,,"5499,54",,"1442,48","1663,48","3.751,20 €","20.619,16 €","6.942,02 €",142,576,0,"9,645,964,905",5316,5528,"1.875,60 €","27.561,18 €",5316,"0,03"
l-de-n-ig-wolterkevin_21022,done,sports,,Germany,DE,,26/2/2021,DE20212_122,wolterkevin,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Makro,Makro,,FALSE,1,,"48,59","1708,14",0,"0,52","28,22","25,21","0,52","0,40","1,55%",1,0,0,0,1504,"5,43%",320000,FALSE,0,27695,1819,,,,,,"1.042,00 €","1.506,34 €",,54,31,0,"28,218,089,908",1949,1999,"781,50 €","1.506,34 €",1949,"0,07"
l-de-n-ig-inscopenico_2102,done,sports,,Germany,DE,INSCOPE,26/2/2021,DE20212_67,inscopenico,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Jessi,all_good,Central Europe,y,All,Mega,Mega,,FALSE,1,1,"64,47","9,043,753,282",0,"0,09","6,83","3,27","0,05","0,13","3,99%",1,0,0,0,77688,"7,80%",1900000,TRUE,0,995898,47200,,"52,458,255,314",,"5371,66","6405,12","13.600,00 €","76.261,98 €","57.829,92 €",135,2080,0,"6,828,008,491",51040,52152,"6.800,00 €","134.091,89 €",51040,"0,05"
l-de-n-ig-fatahasanovic_2102-2,done,lifestyle,,Germany,DE,,25/2/2021,DE20212_30,fata.hasanovic,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Makro,Makro,,FALSE,1,,"35,21","3914,27",0,"1,23","44,12","15,52","0,44","1,23","7,57%",1,0,0,0,1188,"3,59%",453000,FALSE,0,33068,954,,,,,,"1.945,07 €","3.309,71 €",,100,94,0,"44,115,156,647",1188,1241,"1.458,80 €","3.309,71 €",1188,"0,04"
l-de-n-ig-kimfk_21022,done,sports,,Germany,DE,,25/2/2021,DE20212_105,kimfk,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,,"43,37","97,7",0,"1,63","22,46","39,15","0,90","1,57","3,64%",1,0,0,0,48,"1,38%",71800,FALSE,0,3486,41,,,,,,"104,40 €","86,74 €",,25,2,0,"22,461,273,666",50,55,"78,30 €","86,74 €",50,"0,01"
l-de-n-ig-tunishaikel_21024,done,entertainment,,Germany,DE,HAIKEL,24/2/2021,DE20212_63,tunishaikel,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Jessi,all_good,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,1,"37,37","432,1",0,"0,23","25,16","30,00","0,80","0,63","1,92%",1,0,0,0,1296,"10,87%",38400,FALSE,0,11925,452,"179,75",,"69,9",,,"600,00 €","373,68 €",,31,10,0,"25,157,232,704",478,522,"300,00 €","373,68 €",478,"0,04"
l-de-n-ig-lleennyyy_2102-2,done,fashion,,Germany,DE,,24/2/2021,DE20212_29,lleennyyy,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,,"38,01","129,65",0,"0,95","24,71","52,10","1,37","2,00","3,61%",1,0,0,0,165,"2,61%",62700,FALSE,0,6326,65,,,,,,"208,40 €","114,02 €",,18,3,0,"24,707,556,118",78,83,"156,30 €","114,02 €",78,"0,01"
l-de-n-ig-verruecktemamawelt_2102,done,family,,Germany,DE,VERRUECKTEMAMAWELT,23/2/2021,DE20212_77,verruecktemamawelt,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,,All,Midlevel,Midlevel,,FALSE,1,1,"53,87","25372,68",0,"0,08","7,86","3,00","0,06","0,34","10,78%",,,,,20000,"9,43%",79200,FALSE,0,212000,3056,,"6,720,578,018",,"152,874,425","1,779,758,306","3.334,40 €","21.702,28 €","8.249,32 €",141,556,0,"7,864,150,943",4928,5156,"1.667,20 €","29.951,60 €",4928,"0,02"
l-de-n-ig-lisamkws_2102-2,done,lifestyle,,Germany,DE,,22/2/2021,DE20212_4,lisamkws_,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Mikro,Mikro,,FALSE,1,,"50,32","109,45",0,"0,61","13,75","169,33","3,37","3,32","1,90%",1,0,0,0,554,"2,25%",28000,FALSE,0,24631,90,,,,,,"451,53 €","100,63 €",,4,2,0,"13,748,934,270",102,105,"338,65 €","100,63 €",102,"0,00"
l-de-n-ig-realnathalee_2102-2,done,family,,Germany,DE,REALNATHALE,22/2/2021,DE20212_85,realnathalee,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,1,"56,56","3624,24",0,"0,18","12,04","8,33","0,15","0,60","6,98%",1,0,0,0,3848,"6,62%",53300,FALSE,0,58132,716,,"1,350,769,413",,"286,38",360,"1.400,00 €","3.114,00 €","1.637,15 €",82,84,0,"12,041,560,586",1162,1204,"700,00 €","4.751,15 €",1162,"0,02"
l-de-n-ig-annkathrin.martin_21022,done,sports,,Germany,DE,,22/2/2021,DE20212_86,annkathrin.martin,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Makro,Makro,,FALSE,1,,"46,38","156,5",0,"1,39","72,11","58,33","1,26","2,97","4,29%",1,0,0,0,126,"5,19%",170000,FALSE,0,2427,47,,,,,,"233,33 €","139,14 €",,57,3,0,"72,105,480,016",59,70,"175,00 €","139,14 €",59,"0,02"
l-de-n-ig-florian.thiele_official_21022,done,family,,Germany,DE,FLORIANT,21/2/2021,DE20212_101,florian.thiele_official,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Makro,Makro,,FALSE,1,1,"56,23","6712,56",0,"0,34","12,94","9,00","0,16","0,51","5,49%",1,0,0,0,3924,"3,76%",182000,FALSE,0,104309,2112,,"2052,96",,"609,26","718,6","2.700,00 €","5.772,34 €","2.662,22 €",81,150,0,"12,942,315,620",2654,2732,"1.350,00 €","8.434,56 €",2654,"0,03"
l-de-n-ig-getthetriplets_2102-2,done,family,,Germany,DE,,21/2/2021,DE20212_27,getthetriplets,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,,All,Midlevel,Midlevel,,FALSE,1,,"41,01","463,4",0,"0,78","24,05","31,26","0,76","1,20","3,75%",,,,,400,"3,08%",40600,FALSE,0,13000,203,,,,,,"416,80 €","410,13 €",,32,10,0,"24,046,153,846",260,267,"312,60 €","410,13 €",260,"0,02"
l-de-n-ig-diademlori_2102,done,entertainment,,Germany,DE,DIADEMLORI,20/2/2021,DE20212_129,diademlori,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Makro,Makro,,FALSE,1,1,"109,31","31182,42",0,"0,06","12,13","4,77","0,04","0,10","2,13%",1,0,0,0,58912,"20,42%",398000,FALSE,0,288560,28544,,"34418,21",,"19639,58","22974,02","7.000,00 €","26.175,92 €","54.057,79 €",278,734,0,"12,129,193,235",33598,34476,"3.500,00 €","80.233,71 €",33598,"0,12"
l-de-n-ig-saskiabeecks_21022,done,sports,,Germany,DE,,20/2/2021,DE20212_88,saskiabeecks,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Makro,Makro,,FALSE,1,,"39,05","416,31",0,"2,96","65,69","277,78","7,11","5,85","2,02%",1,0,0,0,844,"2,22%",576000,FALSE,0,38060,374,,,,,,"3.333,33 €","351,44 €",,9,9,0,"65,685,759,327",427,445,"2.500,00 €","351,44 €",427,"0,01"
l-de-n-ig-familiem_2102-2,done,family,,Germany,DE,,19/2/2021,DE20212_23,familie.m,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,,"47,12","213,4",0,"1,74","36,18","104,20","2,21","2,15","2,01%",1,0,0,0,239,"2,07%",33958,FALSE,0,11519,130,,,,,,"555,73 €","188,46 €",,16,4,0,"36,183,696,501",194,199,"416,80 €","188,46 €",194,"0,02"
l-de-n-ig-colleenschneider__21022,done,sports,,Germany,DE,,19/2/2021,DE20212_80,colleenschneider_,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Mikro,Mikro,,FALSE,1,,"35,80","40,9",0,"0,77","25,72","125,00","3,49","3,79","2,94%",1,0,0,0,162,"3,33%",27700,FALSE,0,4860,29,,,,,,"166,67 €","35,80 €",,7,1,0,"25,720,164,609",33,34,"125,00 €","35,80 €",33,"0,01"
l-de-n-ig-franzisaidwhat_2102,done,family,,Germany,DE,,18/2/2021,DE20212_107,franzisaidwhat,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Maria,all_good,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,,"39,03","312,06",0,"1,58","41,56","171,19","4,39","2,66","1,49%",1,0,0,0,760,"2,64%",70700,FALSE,0,28832,322,,,,,,"1.597,73 €","273,19 €",,9,7,0,"41,561,459,489",450,471,"1.198,30 €","273,19 €",450,"0,02"
l-de-n-yt-ohbrox_21024,done,entertainment,product_explanation,Germany,DE,OHBROX,18/2/2021,DE20212_59,ohBroxYT,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,youtube,youtube,yt_video,yt_video,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Makro,Makro,,FALSE,1,1,"32,04","306,53",0,"0,90","81,15","318,75","9,95","6,17","1,31%",1,0,0,0,2824,"8,99%",562000,FALSE,0,31422,296,"399,45",,"104,85",,,"2.040,00 €","256,33 €",,8,8,0,"81,153,332,060",413,613,"2.550,00 €","256,33 €",413,"0,01"
l-de-n-ig-pascal.kappes_21022,done,sports,,Germany,DE,,18/2/2021,DE20212_82,pascal.kappes,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Makro,Makro,,FALSE,1,,"39,59","89,75",0,"2,60","105,61","500,00","12,63","5,49","0,98%",1,0,0,0,385,"4,07%",134900,FALSE,0,9469,162,,,,,,"1.333,33 €","79,17 €",,8,2,0,"105,607,772,732",182,204,"1.000,00 €","79,17 €",182,"0,02"
l-de-n-ig-yul_oeltze_2102,done,sports,,Germany,DE,,17/2/2021,DE20212_96,yul_oeltze,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,,"49,71","459,45",0,"0,21","13,03","23,45","0,47","0,40","1,59%",1,0,0,0,893,"6,21%",31800,FALSE,0,14390,384,,,,,,"250,08 €","397,64 €",,28,8,0,"13,034,051,425",471,504,"187,56 €","397,64 €",471,"0,03"
l-de-n-ig-videozeugs_2102,done,lifestyle,,Germany,DE,,17/2/2021,DE20212_125,videozeugs,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/2/2021,1/2/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Makro,Makro,,FALSE,1,,"47,15","906,8",0,"0,16","15,19","88,24","1,87","0,23","0,25%",1,0,0,0,9188,"9,30%",686000,FALSE,0,98764,6255,,,,,,"2.000,00 €","801,53 €",,8,17,0,"15,187,720,222",6643,6856,"1.500,00 €","801,53 €",6643,"0,07"
